name,website,domain,city,state,category,phone,public_email,source_type,source_url,raw_source_id,acquired_at
'N Motion Fitness,https://nmotionfitness.com,nmotionfitness.com,"","",gyms,+1 415-930-2533,"",openstreetmap,https://www.openstreetmap.org/node/13163731721,13163731721,2026-04-28 07:53:43.650201
236 Fit,https://www.236fit.net,236fit.net,"","",gyms,+1 619-599-3428,236fitchulavista@gmail.com,openstreetmap,https://www.openstreetmap.org/node/13270838901,13270838901,2026-04-28 07:53:43.650201
24 Hour Fitness,https://www.24hourfitness.com/Website/Club/00184,24hourfitness.com,West Hollywood,CA,gyms,+1-310-652-7440,"",openstreetmap,https://www.openstreetmap.org/node/429370069,429370069,2026-04-28 07:53:43.650201
24 Hour Fitness,https://www.24hourfitness.com/Website/Club/179,24hourfitness.com,"","",gyms,+1 626-795-7121,"",openstreetmap,https://www.openstreetmap.org/node/3180298843,3180298843,2026-04-28 07:53:43.650201
24 Hour Fitness,https://www.24hourfitness.com/gyms/orange-ca/orange-village-super-sport,24hourfitness.com,Orange,CA,gyms,+1 714-923-0284,"",openstreetmap,https://www.openstreetmap.org/node/878575479,878575479,2026-04-28 07:53:43.650201
24 Hour Fitness,https://www.24hourfitness.com/gyms/mountain-view-ca/mountain-view-super-sport,24hourfitness.com,Mountain View,CA,gyms,+1 650 941 2268,"",openstreetmap,https://www.openstreetmap.org/node/30704388,30704388,2026-04-28 07:53:43.650201
24 Hour Fitness,https://www.24hourfitness.com/Website/Club/00821,24hourfitness.com,San Jose,CA,gyms,+1 408-457-6866,"",openstreetmap,https://www.openstreetmap.org/node/6040819786,6040819786,2026-04-28 07:53:43.650201
24 Hour Fitness,https://www.24hourfitness.com/gyms/simi-valley-ca/simi-valley-sport,24hourfitness.com,Simi Valley,CA,gyms,+1 805-520-3440,"",openstreetmap,https://www.openstreetmap.org/node/11767450323,11767450323,2026-04-28 07:53:43.650201
24 Hour Fitness,https://www.24hourfitness.com/Website/Club/94,24hourfitness.com,San Diego,"",gyms,+1-858-693-3500,"",openstreetmap,https://www.openstreetmap.org/node/596729428,596729428,2026-04-28 07:53:43.650201
24 Hour Fitness,https://www.24hourfitness.com/Website/Club/855?rt=3,24hourfitness.com,Buena Park,"",gyms,+1 714-236-1800,"",openstreetmap,https://www.openstreetmap.org/node/964864931,964864931,2026-04-28 07:53:43.650201
